local-authority-code,la_deprivation_score,pop_2020,area,density,label,label_desc
OXF,13.159116662917764,696880.0,2605.0,267.51631477927066,Mainstream B,Below average deprivation
SNO,13.13699841709256,143066.0,908.0,157.56167400881057,Mainstream B,Below average deprivation
DAC,13.080439459043832,155457.0,212.0,733.2877358490566,Mainstream B,Below average deprivation
NEW,13.026396071876768,179649.0,752.0,238.89494680851064,Mainstream B,Below average deprivation
BAN,12.875384240749336,177760.0,634.0,280.37854889589903,Mainstream B,Below average deprivation
WAR,12.860229108844827,583786.0,1975.0,295.5878481012658,Mainstream B,Below average deprivation
EDE,12.854684203330512,148080.0,814.0,181.9164619164619,Mainstream B,Below average deprivation
HRT,12.85318661167236,1195672.0,1643.0,727.7370663420572,Mainstream B,Below average deprivation
SEL,12.8220422644008,91697.0,599.0,153.08347245409016,Mainstream B,Below average deprivation
HAM,12.75520572244617,1389206.0,3678.0,377.7069059271343,Mainstream B,Below average deprivation
CRA,12.749367855517836,57338.0,1177.0,48.71537807986406,Mainstream B,Below average deprivation
LIF,12.620515330864102,105637.0,331.0,319.1450151057402,Mainstream B,Below average deprivation
HUN,12.575762456240904,178985.0,906.0,197.55518763796908,Mainstream B,Below average deprivation
MEL,12.526185045597456,51394.0,481.0,106.84823284823285,Mainstream B,Below average deprivation
SLA,12.490680848431795,104905.0,1535.0,68.34201954397395,Mainstream B,Below average deprivation
SEV,12.399868215320911,121387.0,369.0,328.9620596205962,Mainstream B,Below average deprivation
WEA,12.362661037312279,162733.0,833.0,195.3577430972389,Mainstream B,Below average deprivation
CHL,12.35628684664888,179549.0,339.0,529.6430678466077,Mainstream B,Below average deprivation
NYK,12.28742067398787,620610.0,8037.0,77.21911160880926,Mainstream B,Below average deprivation
CBF,12.23531766372883,294096.0,716.0,410.7486033519553,Mainstream B,Below average deprivation
TES,12.216568825301202,127163.0,628.0,202.4888535031847,Mainstream B,Below average deprivation
TEW,12.187032204085503,96624.0,414.0,233.3913043478261,Mainstream B,Below average deprivation
RIH,12.108709622185001,53732.0,1319.0,40.736921910538285,Mainstream B,Below average deprivation
ABD,12.040376207361147,260780.0,6313.0,41.308411214953274,Mainstream B,Below average deprivation
IOS,12.005,2226.0,16.0,139.125,Mainstream B,Below average deprivation
HAE,11.99777748542481,91932.0,1311.0,70.12356979405034,Mainstream B,Below average deprivation
WAW,11.990352020479568,144909.0,283.0,512.0459363957597,Mainstream B,Below average deprivation
RUN,11.951561996779388,90327.0,78.0,1158.0384615384614,Mainstream B,Below average deprivation
TAN,11.926536429552135,88542.0,248.0,357.0241935483871,Mainstream B,Below average deprivation
DEB,11.918637372969235,72422.0,792.0,91.4419191919192,Mainstream B,Below average deprivation
YOR,11.81076590319916,211012.0,272.0,775.7794117647059,Mainstream B,Below average deprivation
BRO,11.772944511136771,131931.0,552.0,239.0054347826087,Mainstream B,Below average deprivation
BAS,11.738251197731815,196357.0,346.0,567.5057803468208,Mainstream B,Below average deprivation
STR,11.726253854786389,132402.0,978.0,135.38036809815952,Mainstream B,Below average deprivation
BRM,11.682779287351945,100569.0,217.0,463.4516129032258,Mainstream B,Below average deprivation
SGC,11.674253573395344,287816.0,497.0,579.1066398390342,Mainstream B,Below average deprivation
NHE,11.617651096803176,133463.0,375.0,355.90133333333335,Mainstream B,Below average deprivation
ECA,11.557074398931432,90172.0,651.0,138.51305683563749,Mainstream B,Below average deprivation
NKE,11.54939548389856,118149.0,922.0,128.14425162689804,Mainstream B,Below average deprivation
EDU,11.536573703262087,108750.0,174.0,625.0,Mainstream B,Below average deprivation
KTT,11.478030449503398,179142.0,37.0,4841.675675675676,Outlier A,Above average deprivation and density
TUN,11.320222313938206,118939.0,331.0,359.3323262839879,Mainstream B,Below average deprivation
REI,11.256638986742676,149243.0,129.0,1156.922480620155,Mainstream B,Below average deprivation
COT,10.973922926264716,90264.0,1165.0,77.47982832618025,Mainstream B,Below average deprivation
HAG,10.860670505064318,161545.0,1308.0,123.50535168195718,Mainstream B,Below average deprivation
WOI,10.854296121754489,100008.0,64.0,1562.625,Mainstream B,Below average deprivation
STO,10.83640144543363,120903.0,461.0,262.26247288503254,Mainstream B,Below average deprivation
RIB,10.59807881684404,62026.0,583.0,106.39108061749572,Mainstream B,Below average deprivation
BLA,10.578320272639521,101950.0,130.0,784.2307692307693,Mainstream B,Below average deprivation
ROC,10.491386606080031,87627.0,167.0,524.7125748502993,Mainstream B,Below average deprivation
SRY,10.343215674748444,1199870.0,1663.0,721.5093205051112,Mainstream B,Below average deprivation
BRC,10.330146733143476,124165.0,109.0,1139.1284403669724,Mainstream B,Below average deprivation
EHA,10.278269696176864,123838.0,514.0,240.92996108949416,Mainstream B,Below average deprivation
EAT,10.211495111690025,135520.0,80.0,1694.0,Mainstream B,Below average deprivation
BUC,10.177566121847951,547060.0,1565.0,349.5591054313099,Mainstream B,Below average deprivation
ERW,10.107730202932395,96060.0,174.0,552.0689655172414,Mainstream B,Below average deprivation
BRW,10.053735903195232,77242.0,153.0,504.8496732026144,Mainstream B,Below average deprivation
WBK,10.021977734301045,158465.0,704.0,225.09232954545453,Mainstream B,Below average deprivation
HOR,9.939715322933978,145474.0,530.0,274.4792452830189,Mainstream B,Below average deprivation
THE,9.92761804699806,93966.0,89.0,1055.7977528089887,Mainstream B,Below average deprivation
WIN,9.654869893239578,125925.0,661.0,190.50680786686837,Mainstream B,Below average deprivation
MOL,9.516454157831392,87547.0,258.0,339.32945736434107,Mainstream B,Below average deprivation
GRT,9.44731761500154,150352.0,271.0,554.8044280442805,Mainstream B,Below average deprivation
RIC,9.421518096748294,198141.0,57.0,3476.157894736842,Mainstream B,Below average deprivation
UTT,9.216569081109506,92759.0,641.0,144.70982839313572,Mainstream B,Below average deprivation
FAR,9.041302986243148,116338.0,74.0,1572.1351351351352,Mainstream B,Below average deprivation
EPS,8.925314063527107,81003.0,34.0,2382.4411764705883,Mainstream B,Below average deprivation
RUT,8.853493225135875,40476.0,382.0,105.95811518324608,Mainstream B,Below average deprivation
WOX,8.736159973970338,111758.0,714.0,156.52380952380952,Mainstream B,Below average deprivation
SCA,8.49453021636096,160904.0,902.0,178.38580931263857,Mainstream B,Below average deprivation
SOX,8.45337051324468,143782.0,679.0,211.75552282768777,Mainstream B,Below average deprivation
WNM,8.423452477182972,151273.0,197.0,767.8832487309645,Mainstream B,Below average deprivation
VAL,8.364813730175651,137910.0,578.0,238.59861591695503,Mainstream B,Below average deprivation
SAL,8.333441785897126,149317.0,161.0,927.4347826086956,Mainstream B,Below average deprivation
EHE,8.20238569463365,151786.0,476.0,318.8781512605042,Mainstream B,Below average deprivation
SUR,8.153045697329375,89204.0,95.0,938.9894736842106,Mainstream B,Below average deprivation
HAO,8.136535844872986,95537.0,592.0,161.38006756756758,Mainstream B,Below average deprivation
ELM,7.925309792024567,137215.0,95.0,1444.3684210526317,Mainstream B,Below average deprivation
MSS,7.735725079789698,152142.0,334.0,455.5149700598802,Mainstream B,Below average deprivation
WAE,7.510415956874173,126556.0,345.0,366.8289855072464,Mainstream B,Below average deprivation
RUS,7.20371579238824,121416.0,409.0,296.86063569682153,Mainstream B,Below average deprivation
WOK,5.83357479882421,173945.0,179.0,971.7597765363129,Mainstream B,Below average deprivation
HAT,5.618004130911789,97608.0,215.0,453.9906976744186,Mainstream B,Below average deprivation
