local-authority-code_A,local-authority-code_B,distance
HCK,WSM,0.06249641880704644
WSM,HCK,0.06249641880704644
BDG,GRE,0.0625478631442599
GRE,BDG,0.0625478631442599
HCK,NWM,0.06287867506097801
NWM,HCK,0.06287867506097801
GLG,EDU,0.06291981899456454
EDU,GLG,0.06291981899456454
ENF,HCK,0.06298097036706773
HCK,ENF,0.06298097036706773
HMF,RIC,0.06319842912619834
RIC,HMF,0.06319842912619834
BRY,GRE,0.06326854938195887
GRE,BRY,0.06326854938195887
BNE,HRY,0.06379135366194025
HRY,BNE,0.06379135366194025
SKP,TAM,0.06380721053526377
TAM,SKP,0.06380721053526377
GRA,THR,0.06406258926275711
THR,GRA,0.06406258926275711
CRY,LBH,0.06409171958887763
LBH,CRY,0.06409171958887763
HRY,TWH,0.06425373288188213
TWH,HRY,0.06425373288188213
WFT,ISL,0.06430502332523155
ISL,WFT,0.06430502332523155
ISL,ENF,0.06447745292439169
ENF,ISL,0.06447745292439169
BRY,LEW,0.06473426097006169
LEW,BRY,0.06473426097006169
ELM,KTT,0.0657843580708359
KTT,ELM,0.0657843580708359
DUD,WLV,0.06603136539245476
WLV,DUD,0.06603136539245476
LBH,STN,0.06624340765333413
STN,LBH,0.06624340765333413
HNS,HIL,0.06629975432731468
HIL,HNS,0.06629975432731468
SPE,HNS,0.06640961341436921
HNS,SPE,0.06640961341436921
MAS,BOS,0.06672379558070282
BOS,MAS,0.06672379558070282
BEN,CMD,0.06679943823761347
CMD,BEN,0.06679943823761347
KWL,SHN,0.06709761782485098
SHN,KWL,0.06709761782485098
LBH,HMF,0.06712914820847947
HMF,LBH,0.06712914820847947
MRT,WSM,0.0671584409446983
WSM,MRT,0.0671584409446983
LND,WND,0.06750671481359201
WND,LND,0.06750671481359201
BPL,FYL,0.0675927512090788
FYL,BPL,0.0675927512090788
REI,STN,0.06760445372354881
STN,REI,0.06760445372354881
LND,WFT,0.06777844410954235
WFT,LND,0.06777844410954235
SWK,CMD,0.06778965188577989
CMD,SWK,0.06778965188577989
BLA,LCE,0.06806238140232965
LCE,BLA,0.06806238140232965
KTT,STN,0.06807537845291266
STN,KTT,0.06807537845291266
REI,EPS,0.06840407591296505
EPS,REI,0.06840407591296505
SWK,WND,0.06845474083103638
WND,SWK,0.06845474083103638
LBH,HCK,0.06849204733084906
HCK,LBH,0.06849204733084906
EAL,HMF,0.06868287764999821
HMF,EAL,0.06868287764999821
SUR,WOI,0.06884736927107199
WOI,SUR,0.06884736927107199
SLG,WNM,0.06919717625492702
WNM,SLG,0.06919717625492702
SLF,BUR,0.06923510096642996
BUR,SLF,0.06923510096642996
MAS,ASH,0.06925759589453516
ASH,MAS,0.06925759589453516
LEW,CRY,0.06930623404280972
CRY,LEW,0.06930623404280972
GRE,RDB,0.06947379200287915
RDB,GRE,0.06947379200287915
DAR,BEX,0.06953805238513631
BEX,DAR,0.06953805238513631
MDW,CAS,0.06959307902728493
CAS,MDW,0.06959307902728493
KTT,HNS,0.06962433240366865
HNS,KTT,0.06962433240366865
MAN,SKP,0.0696699202268248
SKP,MAN,0.0696699202268248
HER,SAL,0.0697351400549043
SAL,HER,0.0697351400549043
LEW,HCK,0.0698224569981063
HCK,LEW,0.0698224569981063
LUT,CBF,0.06983509189381451
CBF,LUT,0.06983509189381451
EAL,HIL,0.07000586048376661
HIL,EAL,0.07000586048376661
ELM,HNS,0.07022175722299114
HNS,ELM,0.07022175722299114
CAN,WLL,0.0703139573330793
WLL,CAN,0.0703139573330793
BBD,BOL,0.07038064354923423
BOL,BBD,0.07038064354923423
BRW,HAV,0.07045149237249178
HAV,BRW,0.07045149237249178
BUR,ROS,0.07045948643173551
ROS,BUR,0.07045948643173551
BGW,CAY,0.0704717059661393
CAY,BGW,0.0704717059661393
BNE,WSM,0.07058579861648948
WSM,BNE,0.07058579861648948
ELM,RIC,0.07067853345858519
RIC,ELM,0.07067853345858519
BEN,WSM,0.07074344628606025
WSM,BEN,0.07074344628606025
HIL,HRW,0.07095853812747673
HRW,HIL,0.07095853812747673
HAL,SHN,0.07148793163990211
SHN,HAL,0.07148793163990211
RIC,EPS,0.07151614074550917
EPS,RIC,0.07151614074550917
BRT,ASH,0.07153025436099938
ASH,BRT,0.07153025436099938
KTT,WND,0.07162558399792164
WND,KTT,0.07162558399792164
RUH,SUR,0.07194479028744315
SUR,RUH,0.07194479028744315
BNE,KEC,0.0719488555233077
KEC,BNE,0.0719488555233077
DER,ERE,0.07204006782113594
ERE,DER,0.07204006782113594
AMB,DER,0.07204871610041165
DER,AMB,0.07204871610041165
MTY,RCT,0.0721223156244411
RCT,MTY,0.0721223156244411
NOW,SNO,0.07248339874721164
SNO,NOW,0.07248339874721164
RIC,MRT,0.07256019467296553
MRT,RIC,0.07256019467296553
SDE,DER,0.07294924842605224
DER,SDE,0.07294924842605224
SPE,HIL,0.0730271890401652
HIL,SPE,0.0730271890401652
SAL,WAT,0.07314743058959
WAT,SAL,0.07314743058959
OLD,RCH,0.07319181263767335
RCH,OLD,0.07319181263767335
WAT,HER,0.07322940808124172
HER,WAT,0.07322940808124172
KEC,SWK,0.07326962190833389
SWK,KEC,0.07326962190833389
CRW,MSS,0.07338016390257704
MSS,CRW,0.07338016390257704
HMF,ISL,0.07342151624188273
ISL,HMF,0.07342151624188273
MAN,TRF,0.07344955721781753
TRF,MAN,0.07344955721781753
GRT,WAE,0.07355797306618715
WAE,GRT,0.07355797306618715
CRY,SWK,0.07368059230323384
SWK,CRY,0.07368059230323384
ISL,BNE,0.07369112624075438
BNE,ISL,0.07369112624075438
NWM,SWK,0.07375289020927263
